0.98,2
0.69,3
0.58,6
0.96,8
0.65,9
0.59,10
0.74,11
0.73,12
0.76,13
0.77,14
1.23,15
0.64,16
0.69,17
0.87,18
0.78,19
0.65,21
0.73,22
0.7,23
0.74,24
1.38,25
1.31,26
1.86,27
0.73,29
0.86,30
0.68,31
1.06,32
0.9,34
0.94,35
0.88,38
1.2,40
0.85,41
0.52,43
0.68,45
0.76,47
0.74,48
0.79,50
0.6,51
0.95,52
0.81,53
1.12,54
0.63,55
0.47,56
0.69,57
0.97,58
1.64,60
0.87,61
0.57,62
1.01,63
0.65,64
0.78,65
0.79,66
0.7,67
0.81,83
0.91,84
0.68,85
0.66,86
0.97,87
0.81,88
0.58,89
0.87,90
1.05,91
0.9,92
0.97,93
1.31,95
0.75,96
0.56,97
0.88,98
0.88,99
0.58,100
0.44,103
0.88,104
0.54,105
0.82,106
0.89,107
0.71,108
0.9,110
0.9,111
0.61,112
0.51,113
0.5,114
0.74,115
0.78,116
0.55,119
0.79,120
0.93,122
0.89,123
0.93,124
0.84,125
0.44,126
0.53,127
0.87,128
0.91,130
0.86,131
0.71,134
0.68,135
1.73,136
0.58,137
0.74,138
1.35,139
0.41,140
1.14,141
0.8,142
0.76,144
1.11,145
0.84,146
1.03,148
0.52,149
0.75,150
0.81,151
1.05,152
0.93,153
0.82,154
0.75,155
0.75,156
0.58,157
0.66,158
0.54,160
0.89,161
1.07,162
0.79,163
0.94,164
1.07,165
0.71,166
0.57,167
1.11,169
0.77,170
0.69,171
0.45,172
0.89,173
1.14,174
0.69,175
0.75,176
0.68,178
2.34,179
0.8,180
0.72,182
0.36,183
0.49,184
1.03,185
0.73,186
0.85,188
0.9,189
1.13,190
1.23,191
0.85,192
0.76,193
0.91,195
0.88,196
0.9,197
1.12,198
0.81,199
0.86,200
0.68,201
0.92,203
0.91,205
0.69,206
0.75,207
1.47,208
0.76,209
0.72,210
1.4,211
0.74,212
1.16,213
0.46,214
0.62,215
0.37,216
0.69,217
0.82,218
1.02,219
0.63,220
0.43,221
0.92,222
0.81,223
0.85,224
0.84,226
0.99,227
1.06,228
1,229
0.59,230
1.28,231
0.92,232
0.89,233
0.62,234
0.94,235
0.79,237
0.81,239
0.6,240
0.68,241
0.59,242
1.09,243
0.73,244
0.56,245
1.23,246
0.8,247
0.65,248
0.79,250
0.99,251
0.78,252
0.8,253
0.51,254
0.95,256
0.63,257
0.59,259
0.92,403
1.4,404
0.72,405
0.45,406
0.84,407
0.84,409
0.94,410
1.09,411
0.95,412
0.74,413
0.93,414
1.15,415
0.96,416
1.12,417
0.96,418
1.13,419
